date,count
2017-12-15,2716
2017-12-16,1892
2017-12-17,453
2017-12-18,62
2017-12-19,15
2017-12-20,8
2017-12-21,7
2017-12-22,1
2017-12-23,2
2017-12-24,2
2017-12-25,26
2017-12-26,660
2017-12-27,1773
2017-12-28,1806
2017-12-29,1416
2017-12-30,711
2017-12-31,53
2018-01-01,2
2018-01-02,4
2018-01-03,5
2018-01-04,5
2018-01-05,10
2018-01-06,20
2018-01-07,22
2018-01-08,534
2018-01-09,1337
2018-01-10,1264
2018-01-11,1116
2018-01-12,666
2018-01-13,123
2018-01-14,626
2018-01-15,1486
2018-01-16,1416
2018-01-17,1069
2018-01-18,723
2018-01-19,155
2018-01-20,20
2018-01-21,5
2018-01-22,6
2018-01-23,13
2018-01-24,21
2018-01-25,69
2018-01-26,54
2018-01-27,5
2018-01-28,1104
2018-01-29,2589
2018-01-30,2687
2018-01-31,1630
2018-02-01,253
2018-02-02,23
2018-02-03,6
2018-02-04,6
2018-02-05,895
2018-02-06,2286
2018-02-07,1092
2018-02-08,1304
2018-02-09,704
2018-02-10,37
2018-02-11,452
2018-02-12,1897
2018-02-13,2020
2018-02-14,1424
2018-02-15,321
2018-02-16,42
2018-02-17,3
2018-02-18,4
2018-02-19,4
2018-02-20,5
2018-02-21,9
2018-02-22,9
2018-02-23,5
2018-02-24,2
2018-02-25,1
2018-02-26,8
2018-02-27,13
2018-02-28,3
2018-03-02,3
2018-03-03,1
2018-03-04,1
2018-03-05,8
2018-03-06,2
2018-03-07,6
2018-03-08,4
2018-03-09,8
2018-03-10,7
2018-03-11,5
2018-03-12,9
2018-03-13,6
2018-03-14,26
2018-03-15,1175
2018-03-16,3409
2018-03-17,3538
2018-03-18,808
2018-03-19,86
2018-03-20,10
2018-03-21,10
2018-03-22,8
2018-03-23,13
2018-03-24,8
2018-03-25,35
2018-03-26,6
2018-03-27,5
2018-03-28,12
2018-03-29,15
2018-03-31,4
2018-04-01,4
2018-04-03,7
2018-04-04,14
2018-04-05,12
2018-04-06,16
2018-04-07,6
2018-04-08,3
2018-04-09,8
2018-04-10,4
2018-04-11,8
2018-04-12,9
2018-04-13,3
2018-04-14,5
2018-04-15,4
2018-04-16,1
2018-04-17,4
2018-04-18,8
2018-04-19,6
2018-04-20,3
2018-04-21,3
2018-04-22,3
2018-04-23,9
2018-04-24,8
2018-04-25,6
2018-04-26,5
2018-04-27,10
2018-04-28,5
2018-04-29,2
2018-04-30,12
2018-05-01,7
2018-05-02,5
2018-05-03,6
2018-05-04,11
2018-05-05,4
2018-05-06,2
2018-05-07,8
2018-05-08,9
2018-05-09,5
2018-05-10,5
2018-05-11,26
2018-05-12,3
2018-05-13,1
2018-05-14,5
2018-05-15,11
2018-05-16,14
2018-05-17,8
2018-05-18,12
2018-05-19,4
2018-05-20,1
2018-05-21,1
2018-05-22,11
2018-05-23,26
2018-05-24,13
2018-05-25,10
2018-05-27,1
2018-05-28,24
2018-05-29,9
2018-05-30,7
2018-05-31,15
2018-06-01,57
2018-06-02,8
2018-06-03,176
2018-06-04,15
2018-06-05,23
2018-06-06,23
2018-06-07,21
2018-06-08,6
2018-06-09,4
2018-06-10,22
2018-06-11,18
2018-06-12,10
2018-06-13,27
2018-06-14,17
2018-06-15,10
2018-06-16,18
2018-06-17,3
2018-06-18,6
2018-06-19,18
2018-06-20,9
2018-06-21,9
2018-06-22,2
2018-06-23,4
2018-06-24,1
2018-06-25,1
2018-06-26,17
2018-06-27,8
2018-06-28,9
2018-06-29,4
2018-06-30,1
2018-07-01,16
2018-07-02,1
